input_id	dealiased_id	standard_id	short_id
doi:10.1111/j.2517-6161.1993.tb01939.x	doi:10.1111/j.2517-6161.1993.tb01939.x	doi:10.1111/j.2517-6161.1993.tb01939.x	ugXwusl0
doi:10.1080/01621459.2021.2000866	doi:10.1080/01621459.2021.2000866	doi:10.1080/01621459.2021.2000866	TULLRYDp
doi:10.1214/aos/1017939139	doi:10.1214/aos/1017939139	doi:10.1214/aos/1017939139	l6vMkIsa
arxiv:2103.00315	arxiv:2103.00315	arxiv:2103.00315	1CkxORTSX
doi:10.48550/arXiv.1705.10301	doi:10.48550/arXiv.1705.10301	doi:10.48550/arxiv.1705.10301	SfCo6pSp
doi:10.48550/arXiv.2310.11340	doi:10.48550/arXiv.2310.11340	doi:10.48550/arxiv.2310.11340	HYsEq2UQ
doi:10.48550/arXiv.2111.01104	doi:10.48550/arXiv.2111.01104	doi:10.48550/arxiv.2111.01104	grNza1Og
doi:10.21105/joss.06469	doi:10.21105/joss.06469	doi:10.21105/joss.06469	4cK1tiec
doi:10.48550/arXiv.2310.07918	doi:10.48550/arXiv.2310.07918	doi:10.48550/arxiv.2310.07918	nYipTPML
doi:10.1016/j.jbi.2022.104086	doi:10.1016/j.jbi.2022.104086	doi:10.1016/j.jbi.2022.104086	esxxcr9l
doi:10.1101/2020.06.25.20140053	doi:10.1101/2020.06.25.20140053	doi:10.1101/2020.06.25.20140053	O1UU4a5P
doi:10.1101/2023.12.01.569658	doi:10.1101/2023.12.01.569658	doi:10.1101/2023.12.01.569658	Rt6voTFN
doi:10.48550/arXiv.2312.14254	doi:10.48550/arXiv.2312.14254	doi:10.48550/arxiv.2312.14254	9S6tI5yv
doi:10.1214/09-AOAS308	doi:10.1214/09-AOAS308	doi:10.1214/09-aoas308	lAsTg3IH
doi:10.48550/arXiv.2206.02058	doi:10.48550/arXiv.2206.02058	doi:10.48550/arxiv.2206.02058	k6r0UwSv
doi:10.48550/arXiv.1910.06939	doi:10.48550/arXiv.1910.06939	doi:10.48550/arxiv.1910.06939	WlwUpYp
